technique_id,technique_file,implementation_mode,primary_library,primary_kind,official_api_url,github_url,pypi_url,fallback_library,fallback_kind,fallback_api_url,fallback_github_url,fallback_pypi_url,source_note_ids
catsne,docs/techniques/catsne.md,approximation,umap-learn (supervised approximation),python,https://umap-learn.readthedocs.io/en/latest/supervised.html,https://github.com/lmcinnes/umap,https://pypi.org/project/umap-learn/,TorchDR COSNE,python,https://torchdr.github.io/dev/gen_modules/torchdr.COSNE.html,https://github.com/TorchDR/TorchDR,https://pypi.org/project/torchdr/,paper-2018-pending-ref-007;paper-2025-stop-misusing-tsne-umap
cca,docs/techniques/cca.md,direct,scikit-learn CCA,python,https://scikit-learn.org/stable/modules/generated/sklearn.cross_decomposition.CCA.html,https://github.com/scikit-learn/scikit-learn,https://pypi.org/project/scikit-learn/,TorchDR PCA,python,https://torchdr.github.io/dev/gen_modules/torchdr.PCA.html,https://github.com/TorchDR/TorchDR,https://pypi.org/project/torchdr/,paper-2015-pending-ref-048;paper-2014-sorzano-survey-dr-techniques
classimap,docs/techniques/classimap.md,approximation,umap-learn (supervised),python,https://umap-learn.readthedocs.io/en/latest/supervised.html,https://github.com/lmcinnes/umap,https://pypi.org/project/umap-learn/,TorchDR COSNE,python,https://torchdr.github.io/dev/gen_modules/torchdr.COSNE.html,https://github.com/TorchDR/TorchDR,https://pypi.org/project/torchdr/,paper-2015-pending-ref-044;paper-2005-zadu-ref-09
classnerv,docs/techniques/classnerv.md,approximation,umap-learn (supervised),python,https://umap-learn.readthedocs.io/en/latest/supervised.html,https://github.com/lmcinnes/umap,https://pypi.org/project/umap-learn/,TorchDR COSNE,python,https://torchdr.github.io/dev/gen_modules/torchdr.COSNE.html,https://github.com/TorchDR/TorchDR,https://pypi.org/project/torchdr/,paper-2005-zadu-ref-09;paper-2025-stop-misusing-tsne-umap
isomap,docs/techniques/isomap.md,direct,scikit-learn Isomap,python,https://scikit-learn.org/stable/modules/generated/sklearn.manifold.Isomap.html,https://github.com/scikit-learn/scikit-learn,https://pypi.org/project/scikit-learn/,TorchDR UMAP,python,https://torchdr.github.io/dev/gen_modules/torchdr.UMAP.html,https://github.com/TorchDR/TorchDR,https://pypi.org/project/torchdr/,paper-2009-comparative-review-dr-techniques;paper-2022-revisiting-dr-visual-cluster-analysis
kpca,docs/techniques/kpca.md,direct,scikit-learn KernelPCA,python,https://scikit-learn.org/stable/modules/generated/sklearn.decomposition.KernelPCA.html,https://github.com/scikit-learn/scikit-learn,https://pypi.org/project/scikit-learn/,TorchDR KernelPCA,python,https://torchdr.github.io/dev/gen_modules/torchdr.KernelPCA.html,https://github.com/TorchDR/TorchDR,https://pypi.org/project/torchdr/,paper-2014-sorzano-survey-dr-techniques;paper-2015-pending-ref-048
lamp,docs/techniques/lamp.md,research_code,Lamp (reference C++ implementation),cpp,https://github.com/gnavvy/Lamp,https://github.com/gnavvy/Lamp,,lsp-python (practical Python fallback),python,https://github.com/lvcarx/pyLSP,https://github.com/lvcarx/pyLSP,https://pypi.org/project/lsp-python/,paper-2011-zadu-ref-08;paper-2008-zadu-ref-06
laplacian_eigenmaps,docs/techniques/laplacian_eigenmaps.md,direct,scikit-learn SpectralEmbedding,python,https://scikit-learn.org/stable/modules/generated/sklearn.manifold.SpectralEmbedding.html,https://github.com/scikit-learn/scikit-learn,https://pypi.org/project/scikit-learn/,TorchDR PHATE,python,https://torchdr.github.io/dev/gen_modules/torchdr.PHATE.html,https://github.com/TorchDR/TorchDR,https://pypi.org/project/torchdr/,paper-2009-comparative-review-dr-techniques;paper-2014-sorzano-survey-dr-techniques
lle,docs/techniques/lle.md,direct,scikit-learn LocallyLinearEmbedding,python,https://scikit-learn.org/stable/modules/generated/sklearn.manifold.LocallyLinearEmbedding.html,https://github.com/scikit-learn/scikit-learn,https://pypi.org/project/scikit-learn/,TorchDR UMAP,python,https://torchdr.github.io/dev/gen_modules/torchdr.UMAP.html,https://github.com/TorchDR/TorchDR,https://pypi.org/project/torchdr/,paper-2009-comparative-review-dr-techniques;paper-2014-sorzano-survey-dr-techniques
lmds,docs/techniques/lmds.md,approximation,scikit-learn MDS (local-window protocol),python,https://scikit-learn.org/stable/modules/generated/sklearn.manifold.MDS.html,https://github.com/scikit-learn/scikit-learn,https://pypi.org/project/scikit-learn/,lsp-python,python,https://github.com/lvcarx/pyLSP,https://github.com/lvcarx/pyLSP,https://pypi.org/project/lsp-python/,paper-2009-zadu-ref-07;paper-2008-zadu-ref-06
lsp,docs/techniques/lsp.md,direct,lsp-python,python,https://github.com/lvcarx/pyLSP,https://github.com/lvcarx/pyLSP,https://pypi.org/project/lsp-python/,scikit-learn MDS,python,https://scikit-learn.org/stable/modules/generated/sklearn.manifold.MDS.html,https://github.com/scikit-learn/scikit-learn,https://pypi.org/project/scikit-learn/,paper-2008-zadu-ref-06;paper-2011-pending-ref-072
mds,docs/techniques/mds.md,direct,scikit-learn MDS,python,https://scikit-learn.org/stable/modules/generated/sklearn.manifold.MDS.html,https://github.com/scikit-learn/scikit-learn,https://pypi.org/project/scikit-learn/,TorchDR TSNEkhorn,python,https://torchdr.github.io/dev/gen_modules/torchdr.TSNEkhorn.html,https://github.com/TorchDR/TorchDR,https://pypi.org/project/torchdr/,paper-2009-comparative-review-dr-techniques;paper-2014-sorzano-survey-dr-techniques
nerv,docs/techniques/nerv.md,research_code,dredviz (NeRV reference C++),cpp,https://github.com/rafaelmessias/dredviz,https://github.com/rafaelmessias/dredviz,,TorchDR SNE (practical Python fallback),python,https://torchdr.github.io/dev/gen_modules/torchdr.SNE.html,https://github.com/TorchDR/TorchDR,https://pypi.org/project/torchdr/,paper-2010-pending-ref-004;paper-2009-zadu-ref-07
pacmap,docs/techniques/pacmap.md,direct,pacmap,python,https://github.com/YingfanWang/PaCMAP,https://github.com/YingfanWang/PaCMAP,https://pypi.org/project/pacmap/,umap-learn,python,https://umap-learn.readthedocs.io/en/latest/,https://github.com/lmcinnes/umap,https://pypi.org/project/umap-learn/,paper-2021-pending-ref-121;paper-2025-pending-ref-142
pca,docs/techniques/pca.md,direct,scikit-learn PCA,python,https://scikit-learn.org/stable/modules/generated/sklearn.decomposition.PCA.html,https://github.com/scikit-learn/scikit-learn,https://pypi.org/project/scikit-learn/,TorchDR PCA,python,https://torchdr.github.io/dev/gen_modules/torchdr.PCA.html,https://github.com/TorchDR/TorchDR,https://pypi.org/project/torchdr/,paper-2009-comparative-review-dr-techniques;paper-2014-sorzano-survey-dr-techniques;paper-2025-stop-misusing-tsne-umap
plmp,docs/techniques/plmp.md,research_code,PLMP reference implementations (paper-specific),mixed,,,,lsp-python (practical Python fallback),python,https://github.com/lvcarx/pyLSP,https://github.com/lvcarx/pyLSP,https://pypi.org/project/lsp-python/,paper-2011-pending-ref-072;paper-2008-zadu-ref-06
random_projection,docs/techniques/random_projection.md,direct,scikit-learn random_projection,python,https://scikit-learn.org/stable/modules/generated/sklearn.random_projection.GaussianRandomProjection.html,https://github.com/scikit-learn/scikit-learn,https://pypi.org/project/scikit-learn/,TorchDR IncrementalPCA,python,https://torchdr.github.io/dev/gen_modules/torchdr.IncrementalPCA.html,https://github.com/TorchDR/TorchDR,https://pypi.org/project/torchdr/,paper-2017-random-projection-survey;paper-2015-pending-ref-173
s-isomap,docs/techniques/s-isomap.md,approximation,scikit-learn Isomap (supervised-neighbor protocol),python,https://scikit-learn.org/stable/modules/generated/sklearn.manifold.Isomap.html,https://github.com/scikit-learn/scikit-learn,https://pypi.org/project/scikit-learn/,umap-learn (supervised),python,https://umap-learn.readthedocs.io/en/latest/supervised.html,https://github.com/lmcinnes/umap,https://pypi.org/project/umap-learn/,paper-2005-zadu-ref-09;paper-2022-revisiting-dr-visual-cluster-analysis
sne,docs/techniques/sne.md,direct,TorchDR SNE,python,https://torchdr.github.io/dev/gen_modules/torchdr.SNE.html,https://github.com/TorchDR/TorchDR,https://pypi.org/project/torchdr/,openTSNE,python,https://opentsne.readthedocs.io/en/latest/,https://github.com/pavlin-policar/openTSNE,https://pypi.org/project/openTSNE/,paper-2002-zadu-ref-17;paper-2009-comparative-review-dr-techniques
som,docs/techniques/som.md,direct,MiniSom,python,https://github.com/JustGlowing/minisom,https://github.com/JustGlowing/minisom,https://pypi.org/project/minisom/,scikit-learn KMeans baseline,python,https://scikit-learn.org/stable/modules/generated/sklearn.cluster.KMeans.html,https://github.com/scikit-learn/scikit-learn,https://pypi.org/project/scikit-learn/,paper-2009-comparative-review-dr-techniques;paper-2014-sorzano-survey-dr-techniques
t-sne,docs/techniques/t-sne.md,direct,openTSNE,python,https://opentsne.readthedocs.io/en/latest/,https://github.com/pavlin-policar/openTSNE,https://pypi.org/project/openTSNE/,scikit-learn TSNE,python,https://scikit-learn.org/stable/modules/generated/sklearn.manifold.TSNE.html,https://github.com/scikit-learn/scikit-learn,https://pypi.org/project/scikit-learn/,paper-2025-stop-misusing-tsne-umap;paper-2020-kobak-initialization-tsne-umap
trimap,docs/techniques/trimap.md,direct,trimap,python,https://github.com/eamid/trimap/blob/master/README.rst,https://github.com/eamid/trimap,https://pypi.org/project/trimap/,scikit-learn Isomap,python,https://scikit-learn.org/stable/modules/generated/sklearn.manifold.Isomap.html,https://github.com/scikit-learn/scikit-learn,https://pypi.org/project/scikit-learn/,paper-2022-pending-ref-101;paper-2021-pending-ref-121
umap,docs/techniques/umap.md,direct,umap-learn,python,https://umap-learn.readthedocs.io/en/latest/,https://github.com/lmcinnes/umap,https://pypi.org/project/umap-learn/,TorchDR UMAP,python,https://torchdr.github.io/dev/gen_modules/torchdr.UMAP.html,https://github.com/TorchDR/TorchDR,https://pypi.org/project/torchdr/,paper-2025-stop-misusing-tsne-umap;paper-2020-kobak-initialization-tsne-umap;paper-2022-revisiting-dr-visual-cluster-analysis
umato,docs/techniques/umato.md,direct,umato,python,https://github.com/hyungkwonko/umato/wiki/API,https://github.com/hyungkwonko/umato,https://pypi.org/project/umato/,umap-learn,python,https://umap-learn.readthedocs.io/en/latest/,https://github.com/lmcinnes/umap,https://pypi.org/project/umap-learn/,paper-2022-pending-ref-009;paper-2025-pending-ref-142
